M 1                                   1952                              
M 1                                  I8067                              
M 6                                   6405                              
M 7                                   6475                              
M 8                                   6523                              
M 11                                  6705                              
M 13                                  6205                              
M 16                                  6611                              
M 17                                  6618                              
M 20                                  6514                              
M 22                                  6656                              
M 24                                 I4715                              
M 27                                  6853                              
M 31                                   224                              
M 33                                   598                              
M 42                                  1976                              
M 43                                  1982                              
M 44                                  2632                              
M 45                                 I6208                              
M 51                                  5194                              
M 57                                  6720                              
M 63                                  5055                              
M 64                                  4826                              
M 65                                  3623                              
M 66                                  3627                              
M 76                                   650                              
M 76                                   651                              
M 81                                  3031                              
M 82                                  3034                              
M 83                                  5236                              
M 84                                  4374                              
M 86                                  4406                              
M 87                                  4486                              
M 93                                  2447                              
M 97                                  3587                              
M 99                                  4254                              
M 101                                 5457                              
M 102                                 5866                              
M 104                                 4594                              
M 108                                 3556                              
Berk58                               I6000                              
Stock18                              I6001                              
PK118+08.2                           I6002                              
WLM                                  I6003                              
Berk59                               I6004                              
Berk104                              I6005                              
Ced214                               I6006                              
Blanco1                              I6007                              
Stock19                              I6008                              
PK118+02.1                           I6009                              
Czernik1                             I6010                              
Berk1                                I6011                              
King13                               I6012                              
vdB1                                 I6013                              
PK119+06.1                           I6014                              
C2-蝴蝶结星云                                40                              
UGC122                               I6015                              
NGC61A                               I6016                              
NGC61B                               I6017                              
UGC156                               I6018                              
Berk60                               I6019                              
NGC67A                               I6020                              
NGC72A                               I6021                              
PK118-08.1                           I6022                              
PK119+00.1                           I6023                              
UGC191                               I6024                              
NGC78A                               I6025                              
NGC78B                               I6026                              
罗伯特四重星系                                 87                              
罗伯特四重星系                                 88                              
罗伯特四重星系                                 89                              
NGC85A                               I6027                              
罗伯特四重星系                                 92                              
NGC85B                               I6028                              
King1                                I6029                              
Mayer1                               I6030                              
C106-杜鹃座47球状星团                         104                              
Berk2                                I6031                              
Stock20                              I6032                              
PK119-06.1                           I6033                              
Stock21                              I6034                              
King14                               I6035                              
King15                               I6036                              
ANDIII                               I6037                              
PK121-02.1                           I6038                              
NGC190A                              I6039                              
NGC191A                              I6040                              
Stock24                              I6041                              
PK121+00.1                           I6042                              
M110                                   205                              
Do12                                 I6043                              
UGC439                               I6044                              
M32                                    221                              
M31-仙女座星系                              224                              
NGC235A                              I6045                              
NGC235B                              I6046                              
Czernik2                             I6047                              
King16                               I6048                              
Berk4                                I6049                              
PK122-04.1                           I6050                              
ANDI                                 I6051                              
UGC477                               I6052                              
C56-头骨星云                               246                              
C62-伯比奇链                               247                              
C65-玉夫座星系                              253                              
Berk61                               I6053                              
Do13                                 I6054                              
King2                                I6055                              
小麦哲伦云                                  292                              
NGC317A                              I6056                              
NGC317B                              I6057                              
MCG-03-03-011                        I6058                              
Sculptor Dwarf                       I6059                              
NGC341A                              I6060                              
NGC341B                              I6061                              
Berk62                               I6062                              
UGC634                               I6063                              
NGC337A                              I6064                              
Czernik3                             I6065                              
New1                                 I6066                              
UGC711                               I6067                              
奎宿九之魂                                  404                              
Stock3                               I6068                              
NGC434A                              I6069                              
ANDII                                I6070                              
C13-蜻蜓星团                               457                              
NGC491A                              I6071                              
UGC891                               I6072                              
NGC526A                              I6073                              
NGC526B                              I6074                              
Abell194                             I6075                              
NGC554A                              I6076                              
UGC1072                              I6077                              
Sh2-188                              I6078                              
NGC643A                              I6079                              
UGC1102                              I6080                              
M103                                   581                              
M33-三角座星系                              598                              
Czernik4                             I6081                              
Tr1                                  I6082                              
M74                                    628                              
PK130-11.1                           I6083                              
3C48                                 I6084                              
NGC643B                              I6085                              
NGC643C                              I6086                              
南极星系                                  2573                              
M76-小哑铃星云                              650                              
M76-小哑铃星云                              651                              
UGC1195                              I6087                              
UGC1197                              I6088                              
Cr463                                I6089                              
Berk5                                I6090                              
UGC1281                              I6091                              
Cr21                                 I6092                              
Berk6                                I6093                              
Abell262                             I6094                              
Stock4                               I6095                              
PK131-05.1                           I6096                              
UGC1385                              I6097                              
Berk7                                I6098                              
Czernik5                             I6099                              
PK133-08.1                           I6100                              
Berk8                                I6101                              
Czernik6                             I6102                              
Czernik7                             I6103                              
UGC1546                              I6104                              
UGC1547                              I6105                              
UGC1551                              I6106                              
UGC1561                              I6107                              
Stock5                               I6108                              
PK131+02.1                           I6109                              
Stock2                               I6110                              
C14-双星团                                869                              
Berk63                               I6111                              
Basel10                              I6112                              
Berk64                               I6113                              
C14-双星团                                884                              
Abell347                             I6114                              
MCG-04-06-041                        I6115                              
Tombaugh4                            I6116                              
Mrk6                                 I6117                              
Mel15                                I6118                              
Mel15-心脏星云                           I1805                              
NGC986A                              I6119                              
Czernik8                             I6120                              
UGC2023                              I6121                              
Czernik9                             I6122                              
UGC2034                              I6123                              
Czernik10                            I6124                              
UGC2053                              I6125                              
NGC978A                              I6126                              
NGC978B                              I6127                              
King4                                I6128                              
UGC2082                              I6129                              
Maffei1                              I6130                              
Czernik11                            I6131                              
Tr2                                  I6132                              
UGC2105                              I6133                              
UGC2119                              I6134                              
Berk65                               I6135                              
Czernik12                            I6136                              
Fornax Dwarf                         I6137                              
NGC1048A                             I6138                              
NGC1048B                             I6139                              
NGC1023A                             I6140                              
M34                                   1039                              
M77                                   1068                              
Czernik13                            I6141                              
PK144-15.1                           I6142                              
NGC1077A                             I6143                              
NGC1077B                             I6144                              
NGC1097A                             I6145                              
DoDz1                                I6146                              
UGC2259                              I6147                              
UGC2275                              I6148                              
UGC2302                              I6149                              
vdB8                                 I6150                              
PK141-07.1                           I6151                              
Latysev1                             I6152                              
Abell400                             I6153                              
PK136+04.1                           I6154                              
Cr33                                 I6155                              
Cr34                                 I6156                              
UGC2463                              I6157                              
Abell407                             I6158                              
Berk66                               I6159                              
NGC1203A                             I6160                              
NGC1203B                             I6161                              
NGC1232A                             I6162                              
Tr3                                  I6163                              
King5                                I6164                              
NGC1253A                             I6165                              
Stock23                              I6166                              
Czernik14                            I6167                              
Perseus I                            I6168                              
C24-英仙座A                              1275                              
NGC1313A                             I6169                              
UGC2620                              I6170                              
天炉座A                                  1316                              
Czernik15                            I6171                              
NGC1316A                             I6172                              
NGC1316B                             I6173                              
Mel20                                I6174                              
NGC1325A                             I6175                              
NGC1316C                             I6176                              
NGC1326A                             I6177                              
NGC1326B                             I6178                              
B202                                 I6179                              
B203                                 I6180                              
UGC2748                              I6181                              
King6                                I6182                              
B205                                 I6183                              
vdB16                                I6184                              
B204                                 I6185                              
NGC1351A                             I6186                              
B206                                 I6187                              
vdB15                                I6188                              
vdB14                                I6189                              
Czernik16                            I6190                              
Berk9                                I6191                              
B1                                   I6192                              
知更鸟蛋星云                                1360                              
Pal1                                 I6193                              
B2                                   I6194                              
大棒旋星系                                 1365                              
NGC1380A                             I6195                              
NGC1380B                             I6196                              
Berk10                               I6197                              
B3                                   I6198                              
NGC1427A                             I6199                              
PK147-02.1                           I6200                              
NGC1437A                             I6201                              
B4                                   I6202                              
Ced19c                               I6203                              
Ced19e                               I6204                              
昴宿四星云                                 1432                              
NGC1437B                             I6205                              
Ced19h                               I6206                              
vdB20                                I6207                              
昴宿五星云                                 1435                              
巴纳德昴宿五星云                             I 349                              
C5-马费伊1星系群                           I 342                              
M45-昴星团                              I6208                              
vdB23                                I6209                              
Tombaugh5                            I6210                              
B5                                   I6211                              
UGC2855                              I6212                              
Ced19o                               I6213                              
Ced19p                               I6214                              
vdB24                                I6215                              
PK149-01.1                           I6216                              
Czernik17                            I6217                              
Sh2-205                              I6218                              
PK171-25.1                           I6219                              
Arp-Madore1                          I6220                              
Kemble1                              I6221                              
King7                                I6222                              
NGC1511A                             I6223                              
NGC1511B                             I6224                              
加利福尼亚星云                               1499                              
NGC1515A                             I6225                              
Do14                                 I6226                              
NGC1516A                             I6227                              
NGC1516B                             I6228                              
PK147+04.1                           I6229                              
vdB26                                I6230                              
埃及艳后之眼星云                              1535                              
B7                                   I6231                              
B9                                   I6232                              
B10                                  I6233                              
B8                                   I6234                              
Mayer2                               I6235                              
PK151+02.1                           I6236                              
Berk11                               I6237                              
